True value of frequency and phase:  0.5 0
Minimum Value at true f:  0.0627715

Best value of frequency and phase:  0.5 0.0
Minimum Value at best f:  0.0627715
Mismatch:  0.06277149999999998


True value of frequency and phase:  1.5 0.0628319
Minimum Value at true f:  0.0626335

Best value of frequency and phase:  1.50334 0.0
Minimum Value at best f:  0.0641375
Mismatch:  0.03862079114611183


True value of frequency and phase:  2.5 0.125664
Minimum Value at true f:  0.0630595

Best value of frequency and phase:  2.50669 0.0
Minimum Value at best f:  0.0684784
Mismatch:  -0.022873626650226964


True value of frequency and phase:  3.5 0.188496
Minimum Value at true f:  0.0625775

Best value of frequency and phase:  3.51003 0.261799
Minimum Value at best f:  0.068114
Mismatch:  -0.025896791878071257


True value of frequency and phase:  4.5 0.251327
Minimum Value at true f:  0.0622475

Best value of frequency and phase:  4.51338 0.261799
Minimum Value at best f:  0.0637433
Mismatch:  0.03821761928189882


True value of frequency and phase:  5.5 0.314159
Minimum Value at true f:  0.0625004

Best value of frequency and phase:  5.51672 0.261799
Minimum Value at best f:  0.0629292
Mismatch:  0.05563964390883891


True value of frequency and phase:  6.5 0.376991
Minimum Value at true f:  0.0624332

Best value of frequency and phase:  6.52007 0.261799
Minimum Value at best f:  0.0644348
Mismatch:  0.030373334415663478


True value of frequency and phase:  7.5 0.439823
Minimum Value at true f:  0.062476

Best value of frequency and phase:  7.52341 0.261799
Minimum Value at best f:  0.0690084
Mismatch:  -0.04208255048338572


True value of frequency and phase:  8.5 0.502655
Minimum Value at true f:  0.0623464

Best value of frequency and phase:  8.52676 0.523599
Minimum Value at best f:  0.0690108
Mismatch:  -0.04454670048374876


True value of frequency and phase:  9.5 0.565487
Minimum Value at true f:  0.0617401

Best value of frequency and phase:  9.5301 0.523599
Minimum Value at best f:  0.0646522
Mismatch:  0.01457302382098491


True value of frequency and phase:  10.5 0.628319
Minimum Value at true f:  0.0626897

Best value of frequency and phase:  10.5334 0.523599
Minimum Value at best f:  0.064552
Mismatch:  0.03298306557680131


True value of frequency and phase:  11.5 0.69115
Minimum Value at true f:  0.0627415

Best value of frequency and phase:  11.5368 0.523599
Minimum Value at best f:  0.0661932
Mismatch:  0.00772687650518411


True value of frequency and phase:  12.5 0.753982
Minimum Value at true f:  0.0627595

Best value of frequency and phase:  12.5401 0.523599
Minimum Value at best f:  0.0706473
Mismatch:  -0.06292346433209306


True value of frequency and phase:  13.5 0.816814
Minimum Value at true f:  0.0628681

Best value of frequency and phase:  13.5435 0.785398
Minimum Value at best f:  0.0718167
Mismatch:  -0.07947117858484676


True value of frequency and phase:  14.5 0.879646
Minimum Value at true f:  0.0623545

Best value of frequency and phase:  14.5468 0.785398
Minimum Value at best f:  0.0673342
Mismatch:  -0.01750661667963005


True value of frequency and phase:  15.5 0.942478
Minimum Value at true f:  0.0621589

Best value of frequency and phase:  15.5502 0.785398
Minimum Value at best f:  0.0662858
Mismatch:  -0.004233845045359619


True value of frequency and phase:  16.5 1.00531
Minimum Value at true f:  0.0626823

Best value of frequency and phase:  16.5535 0.785398
Minimum Value at best f:  0.0685508
Mismatch:  -0.030940620665004248


True value of frequency and phase:  17.5 1.06814
