True value of frequency and phase:  0.5 0
Maximum Value at true f:  0.500313

Best value of frequency and phase:  0.5 0.0
Maximum Value at best f:  0.500313
Mismatch:  0.0


True value of frequency and phase:  1.5 0.0628319
Maximum Value at true f:  0.499663

Best value of frequency and phase:  1.4009 0.380799
Maximum Value at best f:  0.508321
Mismatch:  -0.017327678855548534


True value of frequency and phase:  2.5 0.125664
Maximum Value at true f:  0.499745

Best value of frequency and phase:  2.4019 0.444266
Maximum Value at best f:  0.501413
Mismatch:  -0.003337702228136452


True value of frequency and phase:  3.5 0.188496
Maximum Value at true f:  0.500727

Best value of frequency and phase:  3.503 0.1904
Maximum Value at best f:  0.500496
Mismatch:  0.00046132922730346415


True value of frequency and phase:  4.5 0.251327
Maximum Value at true f:  0.499392

Best value of frequency and phase:  4.504 0.253866
Maximum Value at best f:  0.499158
Mismatch:  0.00046856978085352274


True value of frequency and phase:  5.5 0.314159
Maximum Value at true f:  0.500107

Best value of frequency and phase:  5.505 0.317333
Maximum Value at best f:  0.499825
Mismatch:  0.0005638793298232692


True value of frequency and phase:  6.5 0.376991
Maximum Value at true f:  0.500418

Best value of frequency and phase:  6.50601 0.380799
Maximum Value at best f:  0.500088
Mismatch:  0.0006594487008861893


True value of frequency and phase:  7.5 0.439823
Maximum Value at true f:  0.498703

Best value of frequency and phase:  7.50701 0.444266
Maximum Value at best f:  0.498366
Mismatch:  0.0006757529030305687


True value of frequency and phase:  8.5 0.502655
Maximum Value at true f:  0.500161

Best value of frequency and phase:  8.50801 0.507732
Maximum Value at best f:  0.499785
Mismatch:  0.0007517579339452185


True value of frequency and phase:  9.5 0.565487
Maximum Value at true f:  0.50067

Best value of frequency and phase:  9.50901 0.507732
Maximum Value at best f:  0.500282
Mismatch:  0.000774961551520903


True value of frequency and phase:  10.5 0.628319
Maximum Value at true f:  0.500296

Best value of frequency and phase:  10.51 0.571199
Maximum Value at best f:  0.499958
Mismatch:  0.0006756000447734056


True value of frequency and phase:  11.5 0.69115
Maximum Value at true f:  0.50059

Best value of frequency and phase:  11.511 0.634665
Maximum Value at best f:  0.500331
Mismatch:  0.0005173894804131329


True value of frequency and phase:  12.5 0.753982
Maximum Value at true f:  0.501034

Best value of frequency and phase:  12.512 0.698132
Maximum Value at best f:  0.500816
Mismatch:  0.0004351002127599424


True value of frequency and phase:  13.5 0.816814
Maximum Value at true f:  0.49877

Best value of frequency and phase:  13.513 0.761598
Maximum Value at best f:  0.498607
Mismatch:  0.0003268039376866927


True value of frequency and phase:  14.5 0.879646
Maximum Value at true f:  0.499796

Best value of frequency and phase:  14.514 0.825065
Maximum Value at best f:  0.499662
Mismatch:  0.00026810938863064404


True value of frequency and phase:  15.5 0.942478
Maximum Value at true f:  0.498881

Best value of frequency and phase:  15.515 0.888531
Maximum Value at best f:  0.49876
Mismatch:  0.0002425428108107086


True value of frequency and phase:  16.5 1.00531
Maximum Value at true f:  0.498826

Best value of frequency and phase:  16.516 0.951998
Maximum Value at best f:  0.498723
Mismatch:  0.00020648482637219967


True value of frequency and phase:  17.5 1.06814
Maximum Value at true f:  0.500133

Best value of frequency and phase:  17.517 1.01546
Maximum Value at best f:  0.499995
Mismatch:  0.00027592660352349085


True value of frequency and phase:  18.5 1.13097
Maximum Value at true f:  0.500197

Best value of frequency and phase:  18.518 1.07893
Maximum Value at best f:  0.500064
Mismatch:  0.00026589523727660325


True value of frequency and phase:  19.5 1.19381
Maximum Value at true f:  0.500114

Best value of frequency and phase:  19.519 1.1424
Maximum Value at best f:  0.499991
Mismatch:  0.00024594392478505256


True value of frequency and phase:  20.5 1.25664
Maximum Value at true f:  0.500389

