True value of frequency and phase:  0.5 0
Minimum Value at true f:  0.0627715

Best value of frequency and phase:  0.5 0.0
Minimum Value at best f:  0.0627715
Mismatch:  0.06277149999999998


True value of frequency and phase:  1.5 0.0628319
Minimum Value at true f:  0.0626335

Best value of frequency and phase:  1.501 0.0634665
Minimum Value at best f:  0.0626355
Mismatch:  0.06260156820631124


True value of frequency and phase:  2.5 0.125664
Minimum Value at true f:  0.0630595

Best value of frequency and phase:  2.502 0.126933
Minimum Value at best f:  0.0631059
Mismatch:  0.062323686997993955


True value of frequency and phase:  3.5 0.188496
Minimum Value at true f:  0.0625775

Best value of frequency and phase:  3.503 0.1904
Minimum Value at best f:  0.0626424
Mismatch:  0.06154038602133349


True value of frequency and phase:  4.5 0.251327
Minimum Value at true f:  0.0622475

Best value of frequency and phase:  4.504 0.253866
Minimum Value at best f:  0.0623282
Mismatch:  0.06095106239206394


True value of frequency and phase:  5.5 0.314159
Minimum Value at true f:  0.0625004

Best value of frequency and phase:  5.505 0.317333
Minimum Value at best f:  0.062707
Mismatch:  0.05919482115570451


True value of frequency and phase:  6.5 0.376991
Minimum Value at true f:  0.0624332

Best value of frequency and phase:  6.50601 0.380799
Minimum Value at best f:  0.0627671
Mismatch:  0.05708508393354805


True value of frequency and phase:  7.5 0.439823
Minimum Value at true f:  0.062476

Best value of frequency and phase:  7.50701 0.444266
Minimum Value at best f:  0.0628773
Mismatch:  0.05605273346565087


True value of frequency and phase:  8.5 0.502655
Minimum Value at true f:  0.0623464

Best value of frequency and phase:  8.50801 0.507732
Minimum Value at best f:  0.062872
Mismatch:  0.05391608164962225


True value of frequency and phase:  9.5 0.565487
Minimum Value at true f:  0.0617401

Best value of frequency and phase:  9.50901 0.507732
Minimum Value at best f:  0.0622829
Mismatch:  0.05294840708081128


True value of frequency and phase:  10.5 0.628319
Minimum Value at true f:  0.0626897

Best value of frequency and phase:  10.51 0.571199
Minimum Value at best f:  0.0631998
Mismatch:  0.05455279712759831


True value of frequency and phase:  11.5 0.69115
Minimum Value at true f:  0.0627415

Best value of frequency and phase:  11.511 0.634665
Minimum Value at best f:  0.0631574
Mismatch:  0.05611271363053172


True value of frequency and phase:  12.5 0.753982
Minimum Value at true f:  0.0627595

Best value of frequency and phase:  12.512 0.698132
Minimum Value at best f:  0.0631449
Mismatch:  0.056618597029134965


True value of frequency and phase:  13.5 0.816814
Minimum Value at true f:  0.0628681

Best value of frequency and phase:  13.513 0.761598
Minimum Value at best f:  0.0632081
Mismatch:  0.05745995182946495


True value of frequency and phase:  14.5 0.879646
Minimum Value at true f:  0.0623545

Best value of frequency and phase:  14.514 0.825065
Minimum Value at best f:  0.0627007
Mismatch:  0.05680237465219029


True value of frequency and phase:  15.5 0.942478
Minimum Value at true f:  0.0621589

Best value of frequency and phase:  15.515 0.888531
Minimum Value at best f:  0.0625425
Mismatch:  0.05598761962019916


True value of frequency and phase:  16.5 1.00531
Minimum Value at true f:  0.0626823

Best value of frequency and phase:  16.516 0.951998
Minimum Value at best f:  0.0630929
Mismatch:  0.05613180647950056


True value of frequency and phase:  17.5 1.06814
Minimum Value at true f:  0.0625108

